Timestamp,Rate this pizza (1-10),Which pizza did you try?,How do you feel after eating?,Would you order again?,Pizza tier ranking,One word to describe,Cold pizza preference,Additional comments
2025-01-15T10:30:00,9,Pepperoni,Joy,Yes absolutely!,Top Tier,pillowy,Leftovers Please!,Best pizza I've ever had in my life!
2025-01-15T11:45:00,8,Cheese,Satisfied,Yes absolutely!,Solid Choice,cheesy,Leftovers Please!,The crust was perfectly crispy on the outside soft inside.
2025-01-15T14:20:00,7,Chicken Pesto,Joy,Yes absolutely!,Top Tier,THICK,If Desperate,I dream about this pizza at night.
2025-01-16T09:15:00,10,Pepperoni Cheese,Joy,Yes absolutely!,Top Tier,divine,Leftovers Please!,Would definitely recommend to anyone who loves good food.
2025-01-16T12:00:00,8,Veggie Supreme,Satisfied,Yes absolutely!,Solid Choice,delicious,Leftovers Please!,The cheese pull was absolutely insane.
2025-01-16T16:30:00,6,Meat Lovers,Shame,Meh maybe,Mid,greasy,Never!,
2025-01-17T10:00:00,9,Cheese,Joy,Yes absolutely!,Top Tier,thicc,Leftovers Please!,Perfect balance of sauce and toppings.
2025-01-17T13:45:00,8,Pepperoni,Satisfied,Yes absolutely!,Solid Choice,amazing,If Desperate,This pizza changed my life not kidding.
2025-01-17T17:20:00,7,Chicken Pesto,Joy,Yes absolutely!,Solid Choice,doughy,Leftovers Please!,
2025-01-18T11:30:00,9,Hawaiian,Satisfied,Yes absolutely!,Top Tier,Luxe,Leftovers Please!,I've been searching for pizza like this for years.
2025-01-18T14:15:00,8,Cheese,Joy,Yes absolutely!,Top Tier,perfect,Leftovers Please!,The flavors just dance on your tongue.
2025-01-18T18:00:00,6,Veggie Supreme,Regret,Meh maybe,Mid,heavy,Never!,
2025-01-19T09:45:00,10,Pepperoni,Joy,Yes absolutely!,Top Tier,heavenly,Leftovers Please!,My new comfort food hands down.
2025-01-19T12:30:00,8,Meat Lovers,Satisfied,Yes absolutely!,Solid Choice,crispy,If Desperate,
2025-01-19T15:00:00,7,Cheese Pepperoni,Joy,Yes absolutely!,Solid Choice,saucy,Leftovers Please!,
2025-01-20T10:20:00,9,Chicken Pesto,Joy,Yes absolutely!,Top Tier,gooey,Leftovers Please!,Best pesto pizza I've ever tasted!
2025-01-20T13:00:00,7,Cheese,Satisfied,Yes absolutely!,Solid Choice,cheesy,If Desperate,
2025-01-20T16:45:00,8,Pepperoni,Joy,Yes absolutely!,Top Tier,pillowy,Leftovers Please!,
2025-01-21T11:15:00,6,Veggie Supreme,Shame,Meh maybe,Mid,okay,Never!,
2025-01-21T14:30:00,9,Hawaiian,Joy,Yes absolutely!,Top Tier,tropical,Leftovers Please!,
2025-01-21T17:00:00,8,Cheese,Satisfied,Yes absolutely!,Solid Choice,classic,Leftovers Please!,
2025-01-22T10:00:00,10,Pepperoni Cheese,Joy,Yes absolutely!,Top Tier,THICK,Leftovers Please!,Absolutely phenomenal pizza experience!
2025-01-22T12:45:00,7,Meat Lovers,Satisfied,Yes absolutely!,Solid Choice,hearty,If Desperate,
2025-01-22T15:30:00,8,Chicken Pesto,Joy,Yes absolutely!,Top Tier,fresh,Leftovers Please!,
2025-01-23T09:30:00,9,Cheese,Joy,Yes absolutely!,Top Tier,divine,Leftovers Please!,
2025-01-23T12:15:00,7,Pepperoni,Satisfied,Yes absolutely!,Solid Choice,spicy,If Desperate,
2025-01-23T16:00:00,8,Hawaiian,Joy,Yes absolutely!,Solid Choice,sweet,Leftovers Please!,
2025-01-24T10:45:00,6,Veggie Supreme,Regret,Meh maybe,Mid,bland,Never!,
2025-01-24T13:30:00,9,Cheese Pepperoni,Joy,Yes absolutely!,Top Tier,perfect,Leftovers Please!,
2025-01-24T17:15:00,8,Meat Lovers,Satisfied,Yes absolutely!,Solid Choice,meaty,If Desperate,
2025-01-25T11:00:00,10,Pepperoni,Joy,Yes absolutely!,Top Tier,incredible,Leftovers Please!,This is what pizza dreams are made of!
2025-01-25T14:00:00,7,Chicken Pesto,Joy,Yes absolutely!,Solid Choice,basil-y,Leftovers Please!,
2025-01-25T18:30:00,8,Cheese,Satisfied,Yes absolutely!,Top Tier,gooey,Leftovers Please!,
2025-01-26T10:15:00,9,Hawaiian,Joy,Yes absolutely!,Top Tier,surprising,Leftovers Please!,
2025-01-26T13:45:00,7,Pepperoni,Satisfied,Yes absolutely!,Solid Choice,tasty,If Desperate,
2025-01-26T16:30:00,8,Veggie Supreme,Joy,Yes absolutely!,Solid Choice,fresh,Leftovers Please!,
2025-01-27T09:00:00,6,Meat Lovers,Shame,Meh maybe,Mid,rich,Never!,
2025-01-27T12:00:00,9,Cheese,Joy,Yes absolutely!,Top Tier,pillowy,Leftovers Please!,
2025-01-27T15:45:00,8,Chicken Pesto,Satisfied,Yes absolutely!,Top Tier,herby,Leftovers Please!,
2025-01-28T10:30:00,10,Pepperoni Cheese,Joy,Yes absolutely!,Top Tier,legendary,Leftovers Please!,I could eat this every single day!
2025-01-28T13:15:00,7,Hawaiian,Joy,Yes absolutely!,Solid Choice,tangy,If Desperate,
2025-01-28T17:00:00,8,Cheese,Satisfied,Yes absolutely!,Solid Choice,comforting,Leftovers Please!,
2025-01-29T09:45:00,9,Pepperoni,Joy,Yes absolutely!,Top Tier,crispy,Leftovers Please!,
2025-01-29T12:30:00,7,Veggie Supreme,Satisfied,Yes absolutely!,Solid Choice,healthy,If Desperate,
2025-01-29T16:15:00,8,Meat Lovers,Joy,Yes absolutely!,Solid Choice,filling,Leftovers Please!,
2025-01-29T19:00:00,9,Chicken Pesto,Joy,Yes absolutely!,Top Tier,gourmet,Leftovers Please!,Restaurant quality at home!
